danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0.636,0.169,6,-14.168,1,0.0304,0.887,7.16e-05,0.229,0.454,87.995,181627,4,acoustic pop
0.595,0.297,2,-10.024,1,0.0387,0.841,0.0,0.158,0.438,85.977,244186,4,acoustic pop
0.47,0.801,9,-6.426,1,0.0352,0.0758,3.53e-05,0.218,0.431,173.92,235813,4,viral pop
0.665,0.38,4,-10.252,1,0.0325,0.0653,8.15e-05,0.103,0.286,165.713,332027,1,acoustic pop
0.549,0.24,0,-7.778,1,0.0338,0.947,0.0,0.106,0.167,119.58,268800,4,lilith
0.402,0.873,0,-5.317,1,0.0562,0.000781,0.0,0.123,0.482,155.147,243320,4,acoustic pop
0.723,0.93,0,-3.292,1,0.128,0.239,0.0,0.155,0.69,124.94,178659,4,acoustic pop
0.693,0.367,3,-11.66,1,0.0323,0.351,2.9e-05,0.111,0.286,129.879,274632,4,neo mellow
0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,201933,3,viral pop
0.541,0.537,8,-6.043,1,0.307,0.452,0.0,0.115,0.655,108.001,167195,3,neo mellow
0.647,0.703,0,-6.55,1,0.0257,0.192,0.00256,0.0989,0.703,94.968,181750,4,acoustic pop
0.547,0.693,7,-9.002,1,0.0471,0.171,1.03e-06,0.0959,0.602,106.369,242533,4,neo mellow
0.618,0.378,7,-10.297,1,0.0308,0.864,0.0,0.0907,0.398,110.118,189450,4,neo mellow
0.557,0.533,4,-6.114,0,0.03,0.0783,0.00955,0.413,0.157,92.999,304517,4,indiecoustica
0.547,0.328,8,-11.118,1,0.0321,0.163,0.0926,0.0884,0.186,139.959,267862,4,indiecoustica
0.495,0.185,9,-13.824,1,0.0288,0.692,0.00403,0.109,0.196,101.89,252467,4,acoustic pop
0.536,0.132,7,-16.313,1,0.04,0.874,0.00843,0.108,0.461,79.917,295467,4,acoustic pop
0.684,0.7,8,-6.478,1,0.0486,0.0714,0.0,0.122,0.47,90.04,247760,4,neo mellow
0.405,0.411,1,-10.974,0,0.0446,0.38,0.0119,0.118,0.32,142.758,344520,4,acoustic pop
0.404,0.571,0,-5.069,1,0.0303,0.182,2.08e-05,0.129,0.29,147.01,245933,4,pop rock
0.468,0.413,10,-10.349,1,0.0427,0.662,0.0,0.0669,0.403,159.487,226648,4,acoustic pop
0.386,0.452,2,-7.715,1,0.0278,0.417,0.0,0.0881,0.287,169.837,279827,3,lilith
0.509,0.716,9,-4.602,1,0.0321,0.0132,4.92e-05,0.332,0.39,117.848,179587,4,heartland rock
0.515,0.769,7,-5.696,1,0.0309,0.0453,0.00434,0.0961,0.653,153.046,274245,4,opm
0.63,0.894,10,-4.592,1,0.0544,0.255,0.0,0.181,0.364,142.051,218520,4,pop rock
0.445,0.554,0,-6.48,1,0.0338,0.0722,0.0,0.112,0.235,88.015,200979,4,acoustic pop
0.585,0.307,1,-10.303,1,0.0301,0.515,0.0,0.0994,0.2,110.364,182587,4,acoustic pop
0.691,0.547,6,-8.739,1,0.0773,0.131,0.000182,0.684,0.574,139.987,300773,4,acoustic pop
0.483,0.256,8,-13.891,1,0.0335,0.797,0.00129,0.0675,0.582,139.904,278693,3,neo mellow
0.495,0.732,10,-4.336,1,0.0417,0.244,0.0,0.0624,0.349,71.024,203070,4,indiecoustica
0.582,0.375,1,-13.277,0,0.0329,0.702,0.0631,0.136,0.106,129.909,238971,4,acoustic pop
0.563,0.929,7,-3.952,1,0.102,0.0244,0.0,0.0971,0.556,90.96,227707,4,acoustic pop
0.533,0.152,2,-14.996,1,0.0302,0.79,2.46e-05,0.148,0.132,143.972,261667,4,indiecoustica
0.578,0.727,10,-4.872,1,0.0332,0.0304,1.99e-05,0.172,0.885,170.593,231840,4,neo mellow
0.599,0.712,2,-5.358,1,0.0391,0.184,0.00156,0.106,0.288,132.098,202040,4,acoustic pop
0.526,0.57,0,-9.187,1,0.0499,0.363,0.0,0.0735,0.35,138.961,231892,4,acoustic pop
0.604,0.75,7,-4.807,0,0.0467,0.0318,0.0,0.118,0.56,95.992,195187,4,neo mellow
0.416,0.527,0,-6.79,0,0.0337,0.713,0.0,0.254,0.364,129.753,243533,4,indiecoustica
0.606,0.415,7,-8.317,0,0.0475,0.695,0.00149,0.174,0.405,137.775,168713,4,stomp and holler
0.567,0.224,1,-10.024,1,0.0299,0.887,0.0,0.109,0.2,124.44,231813,4,acoustic pop
0.66,0.407,7,-8.381,1,0.0571,0.236,0.0,0.109,0.257,133.86,181760,4,viral pop
0.613,0.337,9,-10.099,1,0.0244,0.569,0.00659,0.0906,0.221,93.956,242886,4,acoustic pop
0.649,0.478,10,-8.699,0,0.0365,0.398,0.0,0.313,0.601,90.852,164680,4,acoustic pop
0.549,0.433,7,-8.526,1,0.0327,0.906,0.0108,0.0774,0.486,116.068,155080,3,lounge
0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,172480,4,vocal jazz
0.281,0.212,6,-15.513,1,0.031,0.86,7.73e-05,0.119,0.195,95.555,162893,3,lounge
0.212,0.316,10,-9.429,1,0.0314,0.885,0.0,0.103,0.271,83.597,182440,4,lounge
0.685,0.623,8,-11.146,1,0.042,0.228,0.00234,0.0295,0.896,126.739,171960,4,vocal jazz
0.416,0.341,9,-10.749,1,0.0391,0.864,0.0,0.724,0.776,177.229,123360,4,vocal jazz
0.187,0.256,0,-11.536,1,0.0308,0.878,1.89e-06,0.187,0.31,89.762,168333,4,adult standards
0.519,0.481,2,-9.796,1,0.0283,0.308,1.05e-05,0.121,0.48,109.246,166907,4,lounge
0.58,0.0545,9,-14.594,0,0.0473,0.963,0.000265,0.0967,0.177,123.341,149827,4,vocal jazz
0.719,0.257,0,-14.446,0,0.0435,0.88,2.61e-06,0.257,0.75,103.829,159907,4,lounge
0.568,0.375,7,-9.167,1,0.0319,0.535,0.000107,0.103,0.231,79.09,152000,4,vocal jazz
0.838,0.171,4,-12.614,0,0.0729,0.23,0.0,0.11,0.397,135.925,199600,4,adult standards
0.558,0.223,10,-12.362,1,0.0299,0.868,0.000972,0.13,0.303,101.711,161547,3,brill building pop
0.632,0.368,7,-14.901,0,0.061,0.65,0.0,0.189,0.773,143.121,165360,4,vocal jazz
0.743,0.799,8,-5.466,0,0.0375,0.699,0.0,0.0635,0.965,116.112,139200,4,brill building pop
0.541,0.341,9,-8.722,0,0.0473,0.727,0.0,0.0601,0.635,138.022,125960,3,vocal jazz
0.373,0.124,5,-12.95,1,0.0342,0.969,0.000891,0.123,0.351,86.857,185000,3,lounge
0.421,0.0533,0,-22.052,1,0.0405,0.946,0.000437,0.131,0.111,111.996,203307,4,vocal jazz
0.262,0.344,10,-10.692,1,0.0326,0.859,0.0,0.198,0.253,135.825,159467,3,lounge
0.419,0.331,3,-10.497,1,0.0293,0.932,0.0,0.102,0.322,80.647,160093,4,rock-and-roll
0.543,0.284,5,-13.205,1,0.051,0.683,0.0,0.101,0.409,125.558,158227,4,vocal jazz
0.354,0.472,5,-13.215,0,0.0464,0.449,0.0,0.28,0.541,96.026,149040,4,lounge
0.609,0.794,3,-4.739,1,0.0389,0.734,6.18e-05,0.0479,0.968,136.036,133747,4,rock-and-roll
0.538,0.536,3,-10.36,1,0.036,0.473,0.0,0.18,0.54,119.31,221373,4,adult standards
0.471,0.146,10,-13.6,1,0.0309,0.782,0.0,0.0888,0.595,78.554,190400,4,lounge
0.176,0.29,10,-13.811,1,0.033,0.87,1.02e-06,0.174,0.183,79.47,152360,4,lounge
0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,151867,4,vocal jazz
0.425,0.373,4,-7.543,1,0.0801,0.686,0.0,0.077,0.663,78.231,155307,4,adult standards
0.417,0.384,5,-12.048,1,0.0446,0.814,0.0,0.412,0.356,107.3,177533,4,lounge
0.571,0.196,3,-13.216,1,0.0278,0.811,0.0,0.142,0.555,88.728,134560,4,rock-and-roll
0.673,0.286,8,-14.643,1,0.0313,0.294,0.0,0.086,0.199,120.117,256467,4,adult standards
0.418,0.153,10,-14.484,1,0.0293,0.879,4.23e-06,0.156,0.267,80.748,167927,4,brill building pop
0.314,0.139,5,-15.307,1,0.0317,0.95,0.0,0.101,0.182,101.939,193667,3,vocal jazz
0.345,0.346,0,-10.837,1,0.0309,0.381,0.0,0.471,0.521,109.368,131266,4,lounge
0.39,0.0235,5,-19.695,1,0.0345,0.937,0.00128,0.099,0.155,133.403,125585,5,lounge
0.659,0.248,10,-11.169,0,0.0573,0.861,0.0,0.19,0.647,115.118,120133,4,vocal jazz
0.48,0.689,4,-7.921,1,0.0645,0.78,0.0,0.149,0.596,117.409,187760,4,rock-and-roll
0.443,0.104,0,-17.042,1,0.101,0.913,0.0,0.191,0.394,76.497,185160,4,vocal jazz
0.204,0.161,8,-15.191,1,0.0336,0.972,8.99e-05,0.121,0.316,82.009,167467,4,adult standards
0.434,0.296,8,-15.614,1,0.0323,0.827,0.0,0.135,0.352,96.276,125200,3,adult standards
0.587,0.513,10,-8.892,0,0.0627,0.823,0.0,0.142,0.722,107.084,158667,4,vocal jazz
0.48,0.447,4,-10.962,0,0.036,0.74,0.00437,0.0858,0.255,96.771,161933,4,adult standards
0.399,0.278,7,-13.122,1,0.0291,0.674,0.000694,0.203,0.597,93.189,238733,4,brill building pop
0.624,0.304,8,-14.496,1,0.0822,0.929,0.173,0.0693,0.874,80.582,216747,4,lounge
0.776,0.231,10,-12.029,1,0.124,0.433,0.0,0.0848,0.694,80.073,190000,4,lounge
0.747,0.446,7,-13.258,0,0.0989,0.612,0.000109,0.179,0.787,96.636,278347,4,lounge
0.506,0.18,0,-12.184,1,0.0443,0.908,2.35e-06,0.0652,0.665,161.51,198107,4,vocal jazz
0.39,0.46,9,-8.711,0,0.0455,0.803,0.0,0.102,0.694,147.335,155333,4,lounge
0.469,0.278,3,-16.311,0,0.028,0.248,0.000126,0.133,0.331,169.735,231840,4,adult standards
0.566,0.218,7,-16.936,1,0.0369,0.895,6.06e-05,0.0956,0.434,134.13,133667,4,vocal jazz
0.533,0.245,8,-14.652,1,0.0326,0.707,4.21e-05,0.122,0.236,89.328,276000,4,adult standards
0.307,0.144,0,-16.383,1,0.0286,0.993,0.776,0.418,0.0645,85.827,189467,4,lounge
0.308,0.464,10,-9.032,1,0.0279,0.418,2.49e-06,0.143,0.318,103.734,213333,4,yacht rock
0.534,0.462,4,-8.172,1,0.0266,0.839,0.0,0.129,0.534,96.195,143333,4,rock-and-roll
0.701,0.444,10,-10.272,1,0.0358,0.898,3.44e-06,0.26,0.843,126.401,172773,4,vocal jazz
0.59,0.0597,10,-18.993,1,0.0434,0.908,0.0,0.116,0.4,133.504,189453,4,adult standards
0.224,0.214,2,-14.455,0,0.0348,0.976,0.00094,0.367,0.14,83.906,179373,3,vocal jazz
0.404,0.193,11,-12.501,1,0.0305,0.794,0.000296,0.103,0.273,77.026,134040,4,rock-and-roll
0.562,0.119,5,-16.837,1,0.0351,0.975,0.00343,0.113,0.213,75.52,184160,4,adult standards
0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,139227,4,vocal jazz
0.668,0.26,7,-14.256,1,0.0523,0.453,0.0,0.0621,0.368,119.416,147000,4,adult standards
0.63,0.0589,4,-18.238,1,0.0784,0.963,0.000176,0.273,0.492,78.99,159933,4,adult standards
0.617,0.53,5,-12.799,0,0.0294,0.835,0.0,0.377,0.779,104.077,120440,4,adult standards
0.512,0.35,5,-10.989,0,0.0472,0.796,0.0,0.0887,0.553,75.47,179107,4,vocal jazz
0.626,0.744,2,-9.189,0,0.0662,0.847,0.892,0.145,0.259,113.117,520133,4,adult standards
0.257,0.311,3,-13.248,1,0.0334,0.789,0.781,0.0778,0.211,142.385,201960,3,adult standards
0.386,0.0491,0,-17.475,1,0.0324,0.972,0.851,0.104,0.104,67.968,206227,3,adult standards
0.534,0.174,0,-13.915,1,0.0276,0.664,0.0,0.628,0.757,99.187,164227,4,adult standards
0.445,0.146,5,-16.064,1,0.0333,0.962,1.05e-05,0.249,0.332,86.637,181067,4,lounge
0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,142693,3,lounge
0.653,0.586,7,-11.482,0,0.142,0.616,0.0,0.218,0.842,115.057,134040,4,adult standards
0.469,0.211,7,-17.185,1,0.0283,0.815,0.00166,0.102,0.301,99.248,173987,3,adult standards
0.601,0.467,4,-10.041,1,0.0263,0.716,0.0,0.135,0.66,129.578,129333,4,rock-and-roll
0.594,0.889,5,-7.775,1,0.246,0.768,0.0,0.124,0.8,116.187,221704,4,adult standards
0.4,0.293,2,-11.781,1,0.0282,0.735,0.0,0.346,0.232,77.111,179467,4,adult standards
0.589,0.0588,7,-19.71,1,0.043,0.982,0.0463,0.122,0.417,77.795,176027,4,adult standards
0.351,0.153,11,-11.954,0,0.0322,0.903,0.0,0.405,0.212,91.749,183893,4,adult standards
0.442,0.482,5,-7.361,1,0.0528,0.717,0.0,0.116,0.599,119.59,127199,4,adult standards
0.691,0.718,2,-8.457,1,0.0317,0.148,4.81e-05,0.108,0.934,110.623,266200,4,adult standards
0.477,0.259,7,-16.096,1,0.0264,0.867,0.0,0.238,0.374,88.59,148627,3,adult standards
0.629,0.155,7,-15.917,1,0.0514,0.912,0.382,0.454,0.368,140.933,196160,4,adult standards
0.58,0.299,10,-13.03,1,0.0269,0.699,0.00386,0.0805,0.364,93.037,282000,4,vocal jazz
0.487,0.441,1,-11.297,1,0.0722,0.761,0.0,0.15,0.604,82.707,149800,4,rock-and-roll
0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,211533,3,vocal jazz
0.339,0.208,0,-16.725,1,0.0308,0.396,0.000519,0.18,0.288,98.54,218013,3,rock-and-roll
0.741,0.147,5,-16.563,1,0.0613,0.894,0.0,0.126,0.827,134.465,169627,4,adult standards
0.583,0.501,9,-9.331,1,0.0355,0.363,0.0,0.125,0.729,132.502,176400,4,adult standards
0.747,0.226,7,-13.635,1,0.0415,0.908,0.000168,0.107,0.778,123.789,161960,4,rock-and-roll
0.599,0.398,5,-9.916,0,0.0367,0.826,0.000943,0.11,0.474,138.314,237640,4,vocal jazz
0.401,0.498,4,-10.682,1,0.0757,0.394,0.0,0.13,0.816,181.701,149160,4,soul
0.622,0.156,10,-18.629,0,0.0422,0.167,0.00342,0.194,0.0869,63.035,260067,4,adult standards
0.612,0.306,7,-12.595,1,0.0302,0.86,0.705,0.137,0.376,117.711,139653,4,lounge
0.182,0.271,2,-12.889,0,0.0328,0.953,0.94,0.119,0.0397,66.002,185400,4,lounge
0.391,0.128,2,-15.22,1,0.038,0.994,0.153,0.0983,0.227,126.716,165253,3,adult standards
