danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,popularity
0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,70C4NyhjD5OZUMzvWZ3njJ,339000,3,Folk,77
0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,0iOZM63lendWRTTeKhZBSC,244027,4,Folk,77
0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,2ixsaeFioXJmMgkkbd4uj1,200733,4,Folk,79
0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,7BY005dacJkbO6EPiOh2wb,271280,3,Folk,71
0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,3qiyyUfYe7CRYLucrPmulD,300400,4,Folk,78
0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,7mjSHL2Eb0kAwiKbvNNyD9,200560,4,Folk,77
0.637,0.864,8,-4.381,1,0.0468,0.484,0.0,0.222,0.706,99.995,2RiBogNRfulkNf7fVbPOrJ,214720,4,Folk,73
0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515,3dmqIB2Qxe2XZobw9gXxJ6,273600,4,Folk,73
0.501,0.177,0,-9.795,1,0.0345,0.707,3.17e-05,0.0762,0.19,131.183,7d1GPc45c9wtmYxNSwLXTy,284000,3,Folk,69
0.48,0.756,1,-5.399,1,0.0333,0.00993,0.00704,0.312,0.447,131.127,0hm8rgOY17z7kQJlqGKbu7,276720,4,Folk,70
0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,7qH9Z4dJEN0l9bidizW7fq,257533,4,Folk,75
0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,6gXrEUzibufX9xYPk3HD5p,286220,4,Folk,74
0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,5PntSbMHC1ud6Vvl8x56qd,235000,4,Folk,71
0.737,0.495,1,-13.489,1,0.027,0.0588,9.12e-06,0.0542,0.967,104.409,1hQFF33xi8ruavZNyovtUN,197147,4,Folk,75
0.389,0.431,7,-8.061,1,0.0344,0.249,0.0,0.13,0.275,142.14,5MMZJtHOiH1RmQSSe3DJdg,211851,4,Folk,69
0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,0pdKRp2sUthTPe7RLWpPqQ,218883,4,Folk,77
0.672,0.735,5,-4.733,1,0.0457,0.286,0.0,0.242,0.754,115.741,4ofwffwvvnbSkrMSCKQDaC,201287,4,Folk,80
0.532,0.495,10,-6.662,1,0.0343,0.659,0.0,0.0754,0.308,124.936,4U45aEWtQhrm8A5mxPaFZ7,214240,4,Folk,74
0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,0UV5zxRMz6AO4ZwUOZNIKI,234800,4,Folk,70
0.417,0.686,7,-6.484,1,0.0373,0.0955,0.0287,0.0989,0.625,204.113,0Z57YWES04xGh3AImDz6Qr,189293,4,Folk,69
0.542,0.589,2,-6.623,1,0.0318,0.292,0.000522,0.177,0.137,111.665,7w5cxTEzp1rfV3KCy0Bd5N,303200,4,Folk,72
0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,4rsW3WCZBGwhHfJWuHRwyT,210173,4,Folk,69
0.8,0.545,2,-13.637,1,0.0357,0.711,0.00191,0.104,0.861,124.943,4EEjMyQub6tgFVshlM9j1M,250933,4,Folk,69
0.406,0.713,7,-5.49,1,0.0348,0.276,0.00354,0.112,0.577,164.444,4fUU9WKxEgJXyrZJsUA2iP,365093,4,Folk,71
0.705,0.743,1,-6.631,1,0.042,0.432,0.0133,0.103,0.374,118.552,6UBjSnyP1O5W5ndJoO9vUk,324423,4,Folk,72
0.714,0.937,6,-2.947,1,0.0399,0.206,0.0,0.0731,0.964,124.13,5EOoMWIB9iK4ZpcSex9Ec7,194147,4,Folk,74
0.537,0.701,1,-8.913,0,0.0335,0.0972,0.0,0.0832,0.583,120.919,0qdQUeKVyevrbKhAo0ibxS,281227,4,Folk,77
0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,1ynmMEK1fkyiZ6Z6F3ThEt,216533,4,Folk,73
0.682,0.537,2,-10.254,0,0.0323,0.218,3.07e-05,0.0556,0.963,124.574,2BstRQGodshjGpeDGQiNgo,356733,4,Folk,71
0.434,0.677,10,-7.535,1,0.119,0.384,0.0684,0.119,0.218,167.927,0FfZudphGgQTGeEV6AhmOs,204209,4,Folk,72
0.541,0.711,9,-13.492,1,0.0383,0.0635,0.0201,0.719,0.588,136.58,6aqm56xP40foYBBtAWWrnY,291893,4,Folk,66
0.595,0.506,4,-9.682,1,0.0388,0.0464,0.000138,0.107,0.346,141.981,7IxVWmdabNVhfLBV3JD0nJ,217987,4,Folk,68
0.785,0.737,9,-5.306,1,0.0363,0.042,0.000107,0.108,0.971,125.447,67eX1ovaHyVPUinMHeUtIM,218960,4,Folk,72
0.697,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,7kv7zBjMtVf0eIJle2VZxn,180027,4,Folk,71
0.585,0.532,7,-9.673,1,0.0268,0.209,0.00797,0.227,0.68,94.461,1hHGUdFaiJHw9hVZGJWYO2,180067,4,Folk,72
0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,7pKfPomDEeI4TPT6EOYjn9,187867,4,Folk,79
0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,1H4idkmruFoJBg1DvUv2tY,313027,4,Folk,72
0.483,0.721,0,-6.836,1,0.032,0.729,0.0,0.189,0.562,95.261,3AhXZa8sUQht0UEdBJgpGc,369600,4,Folk,74
0.589,0.46,9,-14.54,0,0.0511,0.271,4.95e-05,0.224,0.705,148.172,70Znjq5VPKFrwlB7O26SWT,310760,4,Folk,72
0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01,3ekNuTF3UpOvIZCfiejpnC,279000,4,Folk,67
0.372,0.588,7,-15.493,1,0.0411,0.0213,0.000103,0.0525,0.706,162.874,0VU5k3vCrpqDgUygMjiFYj,269920,4,Folk,66
0.48,0.626,5,-8.406,1,0.0294,0.266,5.7e-05,0.0857,0.542,75.63,3QcuZo6WLcFkqqLmDs0d95,199907,4,Folk,68
