endTime,artistName,trackName,msPlayed
12/30/2019 01:47,BROCKHAMPTON,NEW ORLEANS,4010
12/30/2019 01:47,Lil Uzi Vert,Futsal Shuffle 2020,17460
12/30/2019 01:48,Injury Reserve,Oh Shit!!!,5820
12/30/2019 01:48,Anderson .Paak,Bubblin,16520
12/30/2019 01:48,Vince Staples,Blue Suede,22530
12/30/2019 01:49,PnB Rock,TTM (feat. Wiz Khalifa & NGHTMRE),6260
12/30/2019 01:49,Young Thug,Hot (feat. Gunna),11080
12/30/2019 01:49,Vince Staples,FUN!,39740
12/30/2019 01:50,Arizona Zervas,ROXANNE,38250
12/30/2019 01:53,Octavian,Bet (feat. Skepta & Michael Phantom),166143
12/30/2019 01:55,Ron Suno,PINOCCHIO,125204
12/30/2019 01:57,Vince Staples,Love Can Be...,178826
12/30/2019 01:59,Joey Purp,Elastic,126385
12/30/2019 02:01,Playboi Carti,Poke It Out (with Nicki Minaj),57461
12/30/2019 02:01,Danny Brown,Grown Up,8020
12/30/2019 02:01,Danny Brown,Dirty Laundry,26330
12/30/2019 02:02,Vince Staples,"Yo Love - From ""Queen & Slim: The Soundtrack""",4830
12/30/2019 02:02,Billie Eilish,&burn (with Vince Staples),5780
12/30/2019 02:02,Ab-Soul,Bloody Waters (with Anderson .Paak & James Blake),4470
12/30/2019 02:02,Ab-Soul,Sapiosexual,12050
12/30/2019 02:02,Vince Staples,Home,8800
12/30/2019 02:05,Vince Staples,Big Fish,169996
12/30/2019 02:06,Mura Masa,Firefly,11970
12/30/2019 02:06,KAYTRANADA,10%,3270
12/30/2019 02:06,Rico Nasty,Big Titties (feat. Baauer and EarthGang),39161
12/30/2019 02:06,Whethan,When I'm Down,11220
12/30/2019 02:06,Flume,Rushing Back,1490
12/30/2019 02:06,Mura Masa,WAVE,3270
12/30/2019 02:06,Jai Paul,BTSTU - Edit,5090
12/30/2019 02:06,Mura Masa,Love$ick (feat. A$AP Rocky),11380
12/30/2019 02:07,KAYTRANADA,BULLETS,9800
12/30/2019 02:07,Mura Masa,Firefly,34650
12/30/2019 02:07,Medasin,Always Afternoon,6850
12/30/2019 02:07,KAYTRANADA,CHANCES,1350
12/30/2019 02:07,Mazde,Wicked Winds,4510
12/30/2019 02:08,Mura Masa,Suicide Blades,3040
12/30/2019 02:08,slowthai,Doorman,4790
12/30/2019 02:08,KAYTRANADA,10%,6060
12/30/2019 02:08,Louis The Child,Better Not (with Wafia),10630
12/30/2019 02:08,Mura Masa,Love$ick (feat. A$AP Rocky),5180
12/30/2019 02:08,Young Franco,About This Thing,24500
12/30/2019 02:08,Whethan,Win You Over,4970
12/30/2019 02:09,Mura Masa,Firefly,22490
12/30/2019 02:09,James Blake,Retrograde,1140
12/30/2019 02:09,Mura Masa,Move Me,9930
12/30/2019 02:09,Cool Company,Beneath the Lights - Jean Tonique Remix,5170
12/30/2019 02:09,BANKS,Godless,2830
12/30/2019 02:09,Jai Paul,He,5280
12/30/2019 02:10,KAYTRANADA,WEIGHT OFF,2900
12/30/2019 02:10,KAYTRANADA,GLOWED UP,4730
12/30/2019 02:10,Louis The Child,Slow Down Love,980
12/30/2019 02:10,Rejjie Snow,ACID TRIP,3020
12/30/2019 02:10,Rejjie Snow,ACID TRIP,3470
12/30/2019 02:10,RL Grime,UCLA,7570
12/30/2019 02:10,Mura Masa,Deal Wiv It,34110
12/30/2019 02:11,Mazde,Wicked Winds,20070
12/30/2019 02:13,Vince Staples,Hell Bound - Ad 01,131697
12/30/2019 02:16,Mija,Gypsy Woman (She's Homeless) [House Kitsuné America],136893
