,Unnamed: 0,endTime,artistName,trackName,msPlayed,trackID,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
28,28,12/29/2019 01:28,Still Woozy,Lucy,142500,5RxpYHVbGJPOvSEATQyg9P,142500.0,6.0,0.0,4.0,0.43,0.647,0.537,0.000258,0.119,-12.006,0.21,0.846,84.46
29,29,12/29/2019 01:31,Domo Genesis,Dapper (feat. Anderson .Paak),193093,2Nh2cMryoXl7BrZoIeN2Pr,193093.0,1.0,0.0,4.0,0.0711,0.753,0.594,0.0,0.391,-9.486,0.0816,0.562,112.568
30,30,12/29/2019 01:34,NxWorries,Suede,174866,4F07ku5lMBIoybFPStM2j4,174867.0,10.0,1.0,4.0,0.459,0.669,0.735,0.0,0.103,-7.264,0.329,0.723,117.284
31,31,12/29/2019 01:37,Washed Out,Feel It All Around,192080,4V0x90QcMh4ZxwHzEWOdtK,192080.0,8.0,1.0,4.0,0.000105,0.34,0.737,0.762,0.0699,-4.681,0.0582,0.499,172.022
32,32,12/29/2019 01:40,Vince Staples,Norf Norf,183160,4uQ7wYsuL0DryknoDc11Hk,183160.0,7.0,1.0,4.0,0.396,0.925,0.549,0.000154,0.11,-6.572,0.0656,0.0904,100.014
33,33,12/29/2019 01:46,Animal Collective,My Girls,340786,2gE0khQ948RYQOeTgCUL2a,340787.0,4.0,0.0,4.0,0.256,0.508,0.953,0.0445,0.929,-6.031,0.0806,0.555,119.973
34,34,12/29/2019 01:50,Frank Ocean,DHL,268893,2INhKpUdzh7v0j041gZNsz,268893.0,4.0,0.0,4.0,0.582,0.819,0.458,0.173,0.128,-10.223,0.167,0.232,122.981
35,35,12/29/2019 01:55,Toro y Moi,So Many Details,285036,5Z7cI9glyUTDTRtWSs8K9I,285037.0,5.0,0.0,4.0,0.0428,0.625,0.623,0.0576,0.157,-11.125,0.0655,0.196,143.991
36,36,12/29/2019 01:58,"Tyler, The Creator",EARFQUAKE,190066,5hVghJ4KaYES3BFUATCYn0,190067.0,9.0,1.0,4.0,0.23,0.554,0.498,5.98e-06,0.795,-8.866,0.0685,0.413,79.635
37,37,12/29/2019 02:01,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",201240,2p37Mfy2PWajgOS3i2aaep,201240.0,2.0,1.0,4.0,0.0471,0.926,0.68,0.000125,0.119,-7.689,0.196,0.458,114.981
38,38,12/29/2019 02:06,Mac Miller,Fight the Feeling,301769,2w9htZtkcbR48NCWzXjfvb,301769.0,11.0,0.0,4.0,0.111,0.569,0.881,0.0,0.655,-5.873,0.365,0.811,148.067
39,39,12/29/2019 02:10,Ravyn Lenae,Sticky,196754,1rfGO3N4DPGodJLSSY9Re5,196755.0,4.0,0.0,4.0,0.0339,0.712,0.846,0.000384,0.106,-6.714,0.0538,0.573,120.016
40,40,12/29/2019 02:13,Louis The Child,Shake Something (feat. Joey Purp),193512,6mUwMth1MQT8NVSMI7lKjx,193513.0,10.0,0.0,4.0,0.0925,0.895,0.525,0.00552,0.585,-7.969,0.186,0.202,87.999
