,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,msPlayed,speechiness,tempo,time_signature,valence
88,0.7139862385321099,223079.3853211009,0.7243509174311932,0.2625872884862387,5.215596330275228,0.17382155963302756,-6.7323853211009155,0.5,218292.0275229358,0.11388165137614682,119.55790366972471,3.972477064220184,0.5277022935779816
197,0.7831355932203391,210688.7966101695,0.7813220338983052,0.4298555152542373,5.2542372881355925,0.17385423728813554,-6.384135593220339,0.6440677966101694,83010.98305084746,0.13010169491525422,119.10337288135595,4.0,0.5040169491525425
308,0.6051428571428571,213186.07142857145,0.6838571428571428,0.0955802142857143,5.928571428571429,0.21133571428571427,-7.939785714285714,0.7857142857142857,197128.2857142857,0.2542714285714286,127.06521428571428,4.0,0.4893571428571429
186,0.7122592592592591,410491.5555555556,0.7904074074074073,0.7440040740740741,4.777777777777779,0.15112222222222227,-9.345222222222224,0.6666666666666666,377959.037037037,0.07758518518518517,127.64585185185184,3.9259259259259265,0.4645592592592591
85,0.6477592592592595,229017.2962962963,0.7265,0.2281471220987655,5.314814814814816,0.18966790123456795,-7.182709876543213,0.654320987654321,206081.06790123452,0.09675679012345684,120.51773456790121,3.969135802469136,0.5592265432098767
147,0.76,248036.0,0.9640000000000001,0.703,2.0,0.0975,-5.843999999999999,1.0,22421.0,0.0577,125.00299999999999,4.0,0.643
310,0.765375,248776.25,0.63175,0.09408850625,6.75,0.19975,-8.035625,0.625,238541.5,0.1851375,123.57825,4.0,0.44875
224,0.7345833333333334,201290.94444444447,0.7656511111111111,0.3227757940277779,5.166666666666667,0.15888333333333338,-6.6085972222222225,0.6805555555555556,164548.73611111112,0.11490555555555552,122.17630555555556,3.9583333333333335,0.5488333333333332
139,0.7470985915492957,209417.01408450704,0.7004929577464787,0.0813748243661972,4.732394366197184,0.17494225352112672,-5.747169014084508,0.5774647887323944,203911.2676056338,0.17746478873239446,130.42167605633801,3.95774647887324,0.5079788732394366
206,0.7230491803278689,267442.59016393445,0.7769344262295085,0.45924314,5.557377049180328,0.19227213114754102,-7.614426229508194,0.5737704918032787,245413.31147540984,0.10851639344262297,128.05081967213115,3.9672131147540974,0.4610147540983608
220,0.6268,200443.86666666667,0.7622,0.030337638000000007,5.866666666666666,0.2306666666666666,-4.597066666666667,0.3333333333333333,186928.46666666667,0.24744000000000005,101.65766666666669,3.933333333333333,0.6918666666666667
236,0.7207333333333334,196352.8,0.6065333333333334,0.07738705800000001,5.533333333333332,0.20582666666666666,-8.450999999999999,0.6666666666666666,78481.26666666666,0.20024,116.59146666666668,4.0,0.6105333333333333
58,0.7702780748663107,214604.28342245988,0.7618823529411766,0.18968735096256686,5.192513368983957,0.1850256684491979,-5.729229946524064,0.6149732620320856,202665.44919786093,0.1408877005347593,121.93134759358288,4.005347593582886,0.5408807486631017
59,0.7443152173913049,266978.9347826087,0.6455543478260871,0.31349580054347825,4.684782608695652,0.16904673913043486,-8.174771739130433,0.532608695652174,248270.46739130432,0.15661413043478262,117.55856521739132,3.989130434782609,0.4604358695652174
123,0.6728806451612903,224322.08243727603,0.6510129032258065,0.281250791111111,5.265232974910393,0.19127526881720425,-7.8359068100358416,0.6021505376344086,93209.86021505376,0.11803691756272405,119.05265949820794,3.9139784946236564,0.4702333333333335
100,0.6761323529411767,236122.75,0.7898823529411764,0.29698132000000005,4.955882352941177,0.18503676470588248,-6.621264705882349,0.5588235294117647,211036.85294117648,0.06822647058823528,123.99164705882356,3.9558823529411766,0.5243676470588233
